2-74,شرکت آریا بنیامین
3-72,شرکت دریادلان جاوید خزر
6-72,شرکت میگو کشت چابهار
11-72,شرکت فولاد صنعت جم
16-72,شرکت اورمان پنجره
1/16-72,شرکت اورمان پنجره
17-72,شرکت فن آوران کارامد
19-74,شرکت رزستان سنگ
20-72,شرکت تجارت صنعت آفتاب
1/20-72,شرکت تجارت صنعت آفتاب
23-72,شرکت آهن و فولاد لوشان
1/23-72,شرکت آهن و فولاد لوشان
2/23-72,شرکت آهن و فولاد لوشان
27-72,شرکت ماشین دارو
28-3046,شرکت بسپار سازه توس
29-3046,شرکت پایاماند خراسان
30-3046,شرکت شیمی پیدایش تهران
31-3046,شرکت ایران چاشنی
32-3046,شرکت راک شیمی
1/32-3046,شرکت راک شیمی
35-72,شرکت سپنتا تجارت رستگار
100-72,شرکت مهندسی توسعه هوا فضای ایرانیان
40-73,شرکت اطلس پترو تهران مبین
42-73,شرکت مهرنام آریا
50-73,شرکت نوین ماهک سارویه
51-73,شرکت توسعه هوانوردی والا وطن
53-72,شرکت تعاونی بسوی تندردستی کردستان
56-74,شرکت نشاسته شاهرود
57-72,شرکت صنعت پیشه امید
58-72,شرکت راه آینده
1/58-72,شرکت راه آینده
2/58-72,شرکت راه آینده
3/58-72,شرکت راه آینده
4/58-72,شرکت راه آینده
5/58-72,شرکت راه آینده
6/58-72,شرکت راه آینده
7/58-72,شرکت راه آینده
8/58-72,شرکت راه آینده
9/58-72,شرکت راه آینده
10/58-72,شرکت راه آینده
11/58-72,شرکت راه آینده
12/58-72,شرکت راه آینده
13/58-72,شرکت راه آینده
59-72,شرکت پارس سیاوش
1/59-72,شرکت پارس سیاوش
2/59-72,شرکت پارس سیاوش
3/59-72,شرکت پارس سیاوش
4/59-72,شرکت پارس سیاوش
5/59-72,شرکت پارس سیاوش
6/59-72,شرکت پارس سیاوش
7/59-72,شرکت پارس سیاوش
8/59-72,شرکت پارس سیاوش
9/59-72,شرکت پارس سیاوش
10/59-72,شرکت پارس سیاوش
11/59-72,شرکت پارس سیاوش
12/59-72,شرکت پارس سیاوش
13/59-72,شرکت پارس سیاوش
60-72,شرکت نشان شرق
1/60-72,شرکت نشان شرق
2/60-72,شرکت نشان شرق
3/60-72,شرکت نشان شرق
4/60-72,شرکت نشان شرق
5/60-72,شرکت نشان شرق
6/60-72,شرکت نشان شرق
7/60-72,شرکت نشان شرق
8/60-72,شرکت نشان شرق
9/60-72,شرکت نشان شرق
10/60-72,شرکت نشان شرق
11/60-72,شرکت نشان شرق
12/60-72,شرکت نشان شرق
13/60-72,شرکت نشان شرق
14/60-72,شرکت نشان شرق
15/60-72,شرکت نشان شرق
16/60-72,شرکت نشان شرق
17/60-72,شرکت نشان شرق
18/60-72,شرکت نشان شرق
19/60-72,شرکت نشان شرق
61-72,شرکت پدرام نیا
1/61-72,شرکت پدرام نیا
2/61-72,شرکت پدرام نیا
3/61-72,شرکت پدرام نیا
4/61-72,شرکت پدرام نیا
5/61-72,شرکت پدرام نیا
62-72,شرکت گلدن شید
1/62-72,شرکت گلدن شید
2/62-72,شرکت گلدن شید
3/62-72,شرکت گلدن شید
4/62-72,شرکت گلدن شید
5/62-72,شرکت گلدن شید
6/62-72,شرکت گلدن شید
7/62-72,شرکت گلدن شید
8/62-72,شرکت گلدن شید
9/62-72,شرکت گلدن شید
10/62-72,شرکت گلدن شید
11/62-72,شرکت گلدن شید
12/62-72,شرکت گلدن شید
63-74,شرکت تهران حلب
70-75,شرکت صبا و ساغر
71-75,شرکت سامان گستر تیوا
76-74,شرکت پارسا تجارت ایرسا
1/76-74,شرکت پارسا تجارت ایرسا
322-72,شرکت کاسپین کیمیا کالا
79-71,شرکت ایرانیت
1/79-71,شرکت ایرانیت
2/79-71,شرکت ایرانیت
3/79-71,شرکت ایرانیت
83-72,شرکت روان کاران قرن پرشیا
84-72,شرکت ایران سیستم
85-73,شرکت دیانا آفاق خلیج فارس
86-73,شرکت عمران مشعل پویا
87-73,شرکت کاشت آرو
88-72,شرکت سکو آزما
90-72,شرکت هوشمند ساز ایمن الکترونیک
94-75,شرکت بسط شیمی آسیا
1/94-76,شرکت بسط شیمی آسیا
104-72,شرکت سپهران خوارزم
99-72,شرکت شکوفه بهار قائم
1/99-72,شرکت شکوفه بهار قائم
1/104-72,شرکت سپهران خوارزم
101-72,شرکت آگلا پارت
102-72,شرکت آریا شهاب ماندگار
103-72,شرکت نهاده های کشت و صنعت پارسیان
215-72,شرکت ره آورد امیرکبیر
98-72,شرکت آراد البرز ایران
107-75,شرکت تولیدی بهداشتی جاوید
1/107-75,شرکت تولیدی بهداشتی جاوید
115-71,شرکت ماندگار بازرگان خاورمیانه
117-75,شرکت آذر شایان سیستم
1/117-75,شرکت آذر شایان سیستم
2/117-74,شرکت آذر شایان سیستم
3/117-75,شرکت آذر شایان سیستم
4/117-76,شرکت آذر شایان سیستم
5/117-76,شرکت آذر شایان سیستم
6/117-75,شرکت آذر شایان سیستم
119-72,شرکت راه کار اقتصاد
120-72,شرکت دی تجارت
1/120-72,شرکت دی تجارت
121-72,شرکت یزد سردین
1/121-72,شرکت یزد سردین
2/121-72,شرکت یزد سردین
122-72,شرکت کشت و صنعت گل امید
1/122-72,شرکت کشت و صنعت گل امید
2/122-72,شرکت کشت و صنعت گل امید
3/122-72,شرکت کشت و صنعت گل امید
4/122-72,شرکت کشت و صنعت گل امید
5/122-72,شرکت کشت و صنعت گل امید
6/122-72,شرکت کشت و صنعت گل امید
7/122-72,شرکت کشت و صنعت گل امید
8/122-72,شرکت کشت و صنعت گل امید
9/122-72,شرکت کشت و صنعت گل امید
10/122-72,شرکت کشت و صنعت گل امید
11/122-72,شرکت کشت و صنعت گل امید
123-73,شرکت شیر و گوشت محمدآباد
1/123-72,شرکت شیر و گوشت محمدآباد
2/123-72,شرکت شیر و گوشت محمدآباد
128-72,شرکت آلیاژ صنعت اکباتان
1/128-72,شرکت آلیاژ صنعت اکباتان
2/128-72,شرکت آلیاژ صنعت اکباتان
3/128-72,شرکت آلیاژ صنعت اکباتان
4/128-72,شرکت آلیاژ صنعت اکباتان
129-73 !,شرکت مهرگان سبز امرتات
1/129-73 !,شرکت مهرگان سبز امرتات
131-71,شرکت طرح و توسعه آریا عمران پارس
137-72,شرکت پلاستیک گران نوبخت
1/137-72,شرکت پلاستیک گران نوبخت
2/137-72,شرکت پلاستیک گران نوبخت
139-72,شرکت طرح و چاپ درنا
1/139-72,شرکت طرح و چاپ درنا
2/139-72,شرکت طرح و چاپ درنا
3/139-72,شرکت طرح و چاپ درنا
4/139-72,شرکت طرح و چاپ درنا
5/139-72,شرکت طرح و چاپ درنا
141-72,شرکت رهروان ابتکار
142-72,شرکت آدیش ابنیه
1/142-72,شرکت آدیش ابنیه
144-72,شرکت نگین بازار کالا
146-72,شرکت تجارت باز مبین
1/146-72,شرکت تجارت باز مبین
2/146-72,شرکت تجارت باز مبین
147-72,شرکت آرین تجارت نیک
149-72,شرکت تولیدی صنعتی آبگینه
1/149-72,شرکت تولیدی صنعتی آبگینه
2/149-72,شرکت تولیدی صنعتی آبگینه
3/149-72,شرکت تولیدی صنعتی آبگینه
150-72,شرکت دارو برچسب ایران
152-72,شرکت ستاره آبنوس سبلان
1/152-72,شرکت ستاره آبنوس سبلان
2/152-72,شرکت ستاره آبنوس سبلان
3/152-72,شرکت ستاره آبنوس سبلان
153-72,شرکت مخابراتی ارتباطات راه گشا
1/153-72,شرکت مخابراتی ارتباطات راه گشا
154-72,شرکت شیشه راد
1/154-72,شرکت شیشه راد
2/154-72,شرکت شیشه راد
3/154-72,شرکت شیشه راد
4/154-72,شرکت شیشه راد
5/154-72,شرکت شیشه راد
6/154-72,شرکت شیشه راد
7/154-72,شرکت شیشه راد
8/154-72,شرکت شیشه راد
9/154-72,شرکت شیشه راد
10/154-72,شرکت شیشه راد
11/154-72,شرکت شیشه راد
12/154-72,شرکت شیشه راد
13/154-72,شرکت شیشه راد
155-72,شرکت پولاد پیچ ساز
1/155-72,شرکت پولاد پیچ ساز
2/155-72,شرکت پولاد پیچ ساز
158-71,شرکت نیکو الیاف
161-71,شرکت شایسته زر
1/161-71,شرکت شایسته زر
2/161-71,شرکت شایسته زر
3/161-71,شرکت شایسته زر
4/161-71,شرکت شایسته زر
162-71,شرکت هنر چوب ارژن
163-71,شرکت نیکو اسفنج
165-71,شرکت تمبر مالیاتی فردوسی 3
167-72,شرکت تجارت نور ابرار
1/167-72,شرکت تجارت نور ابرار
2/167-72,شرکت تجارت نور ابرار
3/167-72,شرکت تجارت نور ابرار
4/167-72,شرکت تجارت نور ابرار
168-73,شرکت توانگران افق سامان
169-73,شرکت اطلس زمین پارسیان
170-73,شرکت اندیشه نیک سناباد
24-72,شرکت آبیاری کویر
184-72,شرکت شیمی کویر سمنان
1/184-72,شرکت شیمی کویر سمنان
2/184-72,شرکت شیمی کویر سمنان
3/184-72,شرکت شیمی کویر سمنان
4/184-72,شرکت شیمی کویر سمنان
185-72,شرکت پارت رایانه کویر
1/185-72,شرکت پارت رایانه کویر
2/185-72,شرکت پارت رایانه کویر
3/185-72,شرکت پارت رایانه کویر
4/185-72,شرکت پارت رایانه کویر
5/185-72,شرکت پارت رایانه کویر
6/185-72,شرکت پارت رایانه کویر
7/185-72,شرکت پارت رایانه کویر
8/185-72,شرکت پارت رایانه کویر
9/185-72,شرکت پارت رایانه کویر
186-72,شرکت کومس
1/186-72,شرکت کومس
2/186-72,شرکت کومس
3/186-72,شرکت کومس
4/186-72,شرکت کومس
187-72,شرکت گسترش رایانه پارس
1/187-72,شرکت گسترش رایانه پارس
2/187-72,شرکت گسترش رایانه پارس
3/187-72,شرکت گسترش رایانه پارس
4/187-72,شرکت گسترش رایانه پارس
5/187-72,شرکت گسترش رایانه پارس
6/187-72,شرکت گسترش رایانه پارس
7/187-72,شرکت گسترش رایانه پارس
8/187-72,شرکت گسترش رایانه پارس
9/187-72,شرکت گسترش رایانه پارس
1/24-72,شرکت آبیاری کویر
2/24-72,شرکت آبیاری کویر
3/24-72,شرکت آبیاری کویر
4/24-72,شرکت آبیاری کویر
5/24-72,شرکت آبیاری کویر
6/24-72,شرکت آبیاری کویر
7/24-72,شرکت آبیاری کویر
8/24-72,شرکت آبیاری کویر
9/24-72,شرکت آبیاری کویر
201-72,شرکت بلورک البرز
10/24-72,شرکت آبیاری کویر
11/24-72,شرکت آبیاری کویر
12/24-72,شرکت آبیاری کویر
13/24-72,شرکت آبیاری کویر
206-71,شرکت تراث پرشیا
207-71,شرکت آفتاب آذر زمین
210-72,شرکت الماس درخشان خلیج
1/210-72,شرکت الماس درخشان خلیج
2/210-72,شرکت الماس درخشان خلیج
3/210-72,شرکت الماس درخشان خلیج
211-73,شرکت بهین تکرو سپهر
212-73,شرکت فراز بهین تراز پارس
213-73,شرکت سمام دژ سازه
214-72,شرکت اطلس دوچرخ 
1/214-72,شرکت اطلس دوچرخ 
2/214-72,شرکت اطلس دوچرخ 
3/214-72,شرکت اطلس دوچرخ 
4/214-72,شرکت اطلس دوچرخ
5/214-72,شرکت اطلس دوچرخ 
6/214-72,شرکت اطلس دوچرخ 
216-72,شرکت سوگند اندیشه سازان
1/216-72,شرکت سوگند اندیشه سازان
2/216-72,شرکت سوگند اندیشه سازان
3/216-72,شرکت سوگند اندیشه سازان
4/216-72,شرکت سوگند اندیشه سازان
5/216-72,شرکت سوگند اندیشه سازان
6/216-72,شرکت سوگند اندیشه سازان
217-73,شرکت سی صنعت بهین پاساک
218-72,شرکت مهرگان آریان بامداد
219-72,شرکت ایما کالا نشانه
220-71,شرکت کتاب یاشار
224-71,خانم زهرا شرکت
225-71,شرکت آسانسور سازی دماوند
1/225-71,شرکت آسانسور سازی دماوند
234-72,شرکت تکرانان
1/234-72,شرکت تکرانان
2/234-72,شرکت تکرانان
3/234-72,شرکت تکرانان
4/234-72,شرکت تکرانان
5/234-72,شرکت تکرانان
6/234-72,شرکت تکرانان
235-72,شرکت تابان دریا
249-72,شرکت ذوب و آهن نطنز
1/249-72,شرکت ذوب و آهن نطنز
2/249-72,شرکت ذوب و آهن نطنز
3/249-72,شرکت ذوب و آهن نطنز
4/249-72,شرکت ذوب و آهن نطنز
5/249-72,شرکت ذوب و آهن نطنز
6/249-72,شرکت ذوب و آهن نطنز
7/249-72,شرکت ذوب و آهن نطنز
8/249-72,شرکت ذوب و آهن نطنز
9/249-72,شرکت ذوب و آهن نطنز
10/249-72,شرکت ذوب و آهن نطنز
11/249-72,شرکت ذوب و آهن نطنز
12/249-72,شرکت ذوب و آهن نطنز
13/249-72,شرکت ذوب و آهن نطنز
250-75,شرکت شهاب خودرو
1/250-75,شرکت شهاب خودرو
2/250-75,شرکت شهاب خودرو
3/250-75,شرکت شهاب خودرو
4/250-75,شرکت شهاب خودرو
5/250-75,شرکت شهاب خودرو
6/250-75,شرکت شهاب خودرو
253-74,شرکت اریان رادان
1/253-74,شرکت اریان رادان
2/253-74,شرکت اریان رادان
3/253-74,شرکت اریان رادان
4/253-74,شرکت اریان رادان
257-73, شرکت ارامیس تجارت کیمیا 
288-3046,شرکت نساجی نور پایتخت
1/288-3046,شرکت نساجی نور پایتخت
289-3046,شرکت ایثارگران ابابیل پارس
1/289-3046,شرکت ایثارگران ابابیل پارس
2/289-3046,شرکت ایثارگران ابابیل پارس
290-3046,شرکت شیرین کامان عسل
1/290-3046,شرکت شیرین کامان عسل
2/290-3046,شرکت شیرین کامان عسل
293-3046,شرکت به سیما
295-71,شرکت مهر امین سینا
296-71,شرکت محاسب ارقام خاورمیانه
303-72,شرکت پلی پارس ایرانیان
1/303-72,شرکت پلی پارس ایرانیان
2/303-72,شرکت پلی پارس ایرانیان
304-72,شرکت صنعت کنتور پارس
1/304-72,شرکت صنعت کنتور پارس
325-72,شرکت توسعه تجارت رایانه خاورمیانه
1/325-72,شرکت توسعه تجارت رایانه خاورمیانه
2/325-72,شرکت توسعه تجارت رایانه خاورمیانه
3/325-72,شرکت توسعه تجارت رایانه خاورمیانه
327-71,شرکت لایف برد پارسه
1/327-71,شرکت لایف برد پارسه
2/327-71,شرکت لایف برد پارسه
3/327-71,شرکت لایف برد پارسه
4/327-71,شرکت لایف برد پارسه
328-72,شرکت پارنیه پارت
329-72,شرکت سویا سان
330-72,شرکت ایران کیمیا
331-72,شرکت دنا ارمغان
332-72,شرکت گیتی نگین پارسیان
333-72,شرکت سینا بی نهایت
334-72,شرکت فولاد البرز تاکستان
1/334-72,شرکت فولاد البرز تاکستان
2/334-72,شرکت فولاد البرز تاکستان
3/334-72,شرکت فولاد البرز تاکستان
4/334-72,شرکت فولاد البرز تاکستان
5/334-72,شرکت فولاد البرز تاکستان
6/334-72,شرکت فولاد البرز تاکستان
7/334-72,شرکت فولاد البرز تاکستان
8/334-72,شرکت فولاد البرز تاکستان
9/334-72,شرکت فولاد البرز تاکستان
10/334-72,شرکت فولاد البرز تاکستان
335-74,شرکت پیشتازان صنعت فولاد کویر
336-72,شرکت طلیعه افق سعادت
1/336-72,شرکت طلیعه افق سعادت
2/336-72,شرکت طلیعه افق سعادت
3/336-72,شرکت طلیعه افق سعادت
4/336-72,شرکت طلیعه افق سعادت
352-74,شرکت بین المللی ویستا
1/352-74,شرکت بین المللی ویستا
2/352-74,شرکت بین المللی ویستا
3/352-74,شرکت بین المللی ویستا
354-73,شرکت دیاپلیمر نگار
356-71,شرکت تضامنی  حسام کشمیری و شرکاء
357_74,شرکت سبز آوند آوین
360_72,شرکت جزیره کانیار بندر انزلی
1/360_72,شرکت جزیره کانیار بندر انزلی
2/360_72,شرکت جزیره کانیار بندر انزلی
3/360_72,شرکت جزیره کانیار بندر انزلی
4/360_72,شرکت جزیره کانیار بندر انزلی
5/360_72,شرکت جزیره کانیار بندر انزلی
